1,2,3,3bis,4,5,6,7,7bis,8,9,10,11,12,13,14
La Défense - Grande Arche,Porte Dauphine,Pont de Levallois — Bécon,Porte des Lilas,Porte de Clignancourt,Bobigny - Pablo Picasso,Charles de Gaulle — Étoile,La Courneuve — 8 Mai 1945,Louis Blanc,Balard,Pont de Sèvres,Boulogne — Pont de Saint-Cloud,Mairie des Lilas,Porte de la Chapelle,Gabriel Péri - Asnières - Gennevilliers[1],Saint-Lazare
Esplanade de la Défense,Victor Hugo,Anatole France,Saint-Fargeau,Simplon,Bobigny — Pantin — Raymond Queneau,Kléber,Fort d'Aubervilliers,Jaurès,Lourmel,Billancourt,Boulogne — Jean Jaurès,Porte des Lilas,Marx Dormoy,Mairie de Clichy,Madeleine
Pont de Neully,Charles de Gaulle — Étoile,Louise Michel,Pelleport,Marcadet — Poissonniers,Église de Pantin,Boissière,Aubervilliers — Pantin — Quatre Chemins,Bolivar,Boucicaut,Marcel Sembat,Michel-Ange — Molitor,Télégraphe,Marcadet — Poissonniers,Porte de Clichy,Pyramides
Les sablons,Ternes,Porte de Champerret,Gambetta,Château Rouge,Hoche,Trocadéro,Porte de la Villette (Cité des Sciences et de l'Industrie),Buttes Chaumont,Félix Faure,Porte de Saint-Cloud (Parc des Princes),Chardon-Lagache,Place des Fêtes,Jules Joffrin,Brochant,Châtelet
Porte Maillot,Courcelles,Pereire (Maréchal Juin),,Barbès — Rochechouart,Porte de Pantin (Parc de la Villette),Passy,Corentin Cariou,Botzaris,Commerce,Exelmans,Mirabeau,Jourdain,Lamarck — Caulaincourt,,Gare de Lyon
Argentine,Monceau,Wagram,,Gare du Nord,Ourcq,Bir-Hakeim (Tour Eiffel),Crimée,Place des Fêtes,La Motte-Picquet — Grenelle,Michel-Ange — Molitor,Javel — André Citroën,Pyrénées,Abbesses (Butte Montmartre),Saint-Denis - Université,Bercy
Charles de Gaulle - Etoile,Villiers,Malesherbes,,Gare de l'Est (Verdun),Laumière,Dupleix,Riquet,Danube,École Militaire,Michel-Ange — Auteuil,Charles Michels,Belleville,Pigalle,Basilique de Saint-Denis (Hôtel de Ville),Cour Saint-Émilion
George V,Rome,Villiers,,Château d'Eau,Jaurès,La Motte-Picquet — Grenelle,Stalingrad,Pré Saint-Gervais,La Tour-Maubourg,Jasmin,Avenue Émile Zola,Goncourt (Hôpital-Saint-Louis),Saint-Georges,Saint-Denis - Porte de Paris (Stade de France),Bibliothèque François Mitterrand
Franklin D. Roosevelt,Place de Clichy,Europe,,Strasbourg — Saint-Denis,Stalingrad,Cambronne,Louis Blanc,,Invalides,Ranelagh,La Motte-Picquet — Grenelle,République,Notre-Dame-de-Lorette,Carrefour Pleyel,Olympiades
Champs-Élysées — Clemenceau (Grand Palais),Blanche,Saint-Lazare,,Réaumur — Sébastopol,,Sèvres — Lecourbe,Château-Landon,,Concorde,La Muette,Ségur,Arts et Métiers,Trinité — d'Estienne d'Orves,Mairie de Saint-Ouen,
Concorde,Pigalle,Havre — Caumartin,,Étienne Marcel,Gare du Nord,Pasteur,Gare de l'Est (Verdun),,Madeleine,Rue de la Pompe (Avenue Georges Mandel),Duroc,Rambuteau (Centre Georges Pompidou),Saint-Lazare,Garibaldi,
Tuileries,Anvers (Sacré-Cœur),Opéra,,Les Halles,Gare de l'Est (Verdun),Montparnasse — Bienvenüe,Poissonnière,,Opéra,Trocadéro,Vaneau,Hôtel de Ville,Madeleine,Porte de Saint-Ouen,
Palais Royal - Musée du Louvre,Barbès — Rochechouart,Quatre-Septembre,,Châtelet,Jacques Bonsergent,Edgar Quinet,Cadet,,Richelieu -- Drouot,Iéna,Sèvres — Babylone,Châtelet,Concorde,Guy Môquet,
Louvre - Rivoli,La Chapelle,Bourse,,Cité,République,Raspail,Le Peletier,,Grands Boulebvards,Alma — Marceau,Mabillon,,Assemblée nationale,La Fourche,
Châtelet,Stalingrad,Sentier,,Saint-Michel,Oberkampf,Denfert-Rochereau,Chaussée d'Antin -- La Fayette,,Bonne Nouvelle,Franklin D. Roosevelt,Odéon,,Solférino (Musée d'Orsay),Place de Clichy,
Hôtel de Ville,Colonel Fabien,Réaumur — Sébastopol,,Odéon,Richard-Lenoir,Saint-Jacques,Opéra,,Strasbourg -- Saint Denis,Saint-Philippe du Roule,Cluny — La Sorbonne,,Rue du Bac,Liège,
Saint - Paul,Belleville,Arts et Métiers,,Saint-Germain-des-Prés,Bréguet — Sabin,Glacière,Pyramides,,République,Miromesnil,Maubert — Mutualité,,Sévres — Babylone,Saint-Lazare,
Bastille,Couronnes,Temple,,Saint-Sulpice,Bastille,Corvisart,Palais Royal -- Musée du Louvre,,Filles du Calvaire,Saint-Augustin,Cardinal Lemoine,,Rennes,Miromesnil,
Gare de Lyon,Ménilmontant,République,,Saint-Placide,Quai de la Rapée,Place d'Italie,Pont Neuf,,Saint-Sébastien -- Froissart,Havre — Caumartin,Jussieu,,Notre-Dame-des-Champs,Champs-Élysées — Clemenceau (Grand Palais),
Reuilly - Diderot,Père Lachaise,Parmentier,,Montparnasse — Bienvenüe,Gare d'Austerlitz,Nationale,Châtelet,,Chemin Vert,Chaussée d'Antin — La Fayette,Gare d'Austerlitz,,Montparnasse — Bienvenüe,Invalides,
Nation,Philippe Auguste,Rue Saint-Maur,,Vavin,Saint-Marcel,Chevaleret,Pont Marie (Cité des Arts),,Bastille,Richelieu — Drouot,Porte d'Auteuil,,Falguière,Varenne,
Porte de Vincennes,Alexandre Dumas,Père Lachaise,,Raspail,Campo-Formio,Quai de la Gare,Sully — Morland,,Ledru-Rollin,Grands Boulevards,Michel-Ange — Auteuil,,Pasteur,Saint-François-Xavier,
Saint - Mandé,Avron,Gambetta,,Denfert-Rochereau,Place d'Italie,Bercy,Jussieu,,Faidherbe — Chaligny,Bonne Nouvelle,Église d'Auteuil,,Volontaires,Duroc,
Bérault,Nation,Porte de Bagnolet,,Mouton-Duvernet,,Dugommier,Place Monge (Jardin des Plantes - Arènes de Lutèce),,Reuilly — Diderot,Strasbourg — Saint-Denis,,,Vaugirard (Adolphe Chérioux),Montparnasse — Bienvenüe,
Château de Vincennes,,Gallieni,,Alésia,,Daumesnil (Félix Éboué),Censier — Daubenton,,Montgallet,République,,,Convention,Gaîté,
,,,,Porte d'Orléans,,Bel-Air,Les Gobelins,,Daumesnil (Félix Éboué),Oberkampf,,,Porte de Versailles (Parc des Expositions de Paris),Pernety,
,,,,Mairie de Montrouge,,Picpus (Courteline),Place d'Italie,,Michel Bizot,Saint-Ambroise,,,Corentin Celton,Plaisance,
,,,,,,Nation,Tolbiac,,Porte Dorée,Voltaire (Léon Blum),,,Mairie d'Issy,Porte de Vanves,
,,,,,,,Maison Blanche,,Porte de Charenton,Charonne,,,,Malakoff — Plateau de Vanves,
,,,,,,,Porte d'Italie,,Liberté,Rue des Boulets,,,,Malakoff — Rue Étienne Dolet,
,,,,,,,Porte de Choisy,,Charenton — Écoles (Place Aristide Briand),Nation,,,,Châtillon — Montrouge,
,,,,,,,Porte d'Ivry,,École Vétérinaire de Maisons-Alfort,Buzenval,,,,,
,,,,,,,Pierre et Marie Curie,,Maisons-Alfort — Stade,Maraîchers,,,,,
,,,,,,,Mairie d'Ivry,,Maisons-Alfort — Les Juilliottes,Porte de Montreuil,,,,,
,,,,,,,Le Kremlin-Bicêtre,,Créteil — L'Échat (Hôpital Henri Mondor),Robespierre,,,,,
,,,,,,,Villejuif — Léo Lagrange,,Créteil — Université,Croix de Chavaux (Place Jacques Duclos),,,,,
,,,,,,,Villejuif — Paul Vaillant-Couturier (Hôpital Paul Brousse),,Créteil — Préfecture (Hôtel de Ville),Mairie de Montreuil,,,,,
,,,,,,,Villejuif — Louis Aragon,,,,,,,,